id,voucher_id,image_fullpath,image_croppath,pred_vessel,pred_cruise_num,pred_haul_num,pred_specimen_num,pred_stomach_sample,pred_tissue_sample,pred_right_ovary,pred_left_ovary,pred_whole_animal,pred_length_cm,pred_weight_gm,pred_species_identification,pred_comments,pred_collector_initials,pred_preservative,verified_vessel,verified_cruise_num,verified_haul_num,verified_specimen_num,verified_stomach_sample,verified_tissue_sample,verified_right_ovary,verified_left_ovary,verified_whole_animal,verified_length_cm,verified_weight_gm,verified_species_identification,verified_comments,verified_collector_initials,verified_preservative
1,2,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0267.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/1/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0268.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/2/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0269.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/3/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0270.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0271.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0272.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/6/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0273.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0274.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/8/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0275.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/9/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0276.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/10/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0277.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/11/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0278.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0279.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/13/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0280.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/14/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0281.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/15/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,8,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0282.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/16/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0283.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0284.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0285.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0286.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/20/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0287.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0835.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0002.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
