id,voucher_id,image_fullpath,image_croppath,pred_vessel,pred_cruise_num,pred_haul_num,pred_specimen_num,pred_stomach_sample,pred_tissue_sample,pred_right_ovary,pred_left_ovary,pred_whole_animal,pred_length_cm,pred_weight_gm,pred_species_identification,pred_comments,pred_collector_initials,pred_preservative,verified_vessel,verified_cruise_num,verified_haul_num,verified_specimen_num,verified_stomach_sample,verified_tissue_sample,verified_right_ovary,verified_left_ovary,verified_whole_animal,verified_length_cm,verified_weight_gm,verified_species_identification,verified_comments,verified_collector_initials,verified_preservative
1,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0001.JPG,,,,,,,,,,,,,,,,,94,202201,130,1, , , , ,x,NA,NA,Beringius sp.,Nothing else seems to match for species,NEC,FORM
2,2,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0002.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/2/cropped_form.png,gy.,202101,130,1961 1963,0 0,0 0,0 0,0 0,x,infra.,nja.,' Berinaius sp. ',comments Nothing else seems to match #,NEL,form.,94,202201,130,1, , , , ,x,NA,NA,Beringius sp.,Nothing else seems to match for species,NEC,FORM
3,2,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0003.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/3/cropped_form.png,gy.,202201,130,"1961,",0 0,0 0,0 0,0 0,x,infra.,nja.,' Berinaius sp. ',comments Nothing also seems to match for,NEL,form.,94,202201,130,1, , , , ,x,NA,NA,Beringius sp.,Nothing else seems to match for species,NEC,FORM
4,2,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0004.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/4/cropped_form.png,gy.,202201,130,1961 1963,0 0,0 0,0 0,0 0,x.,inform.,nja.,"Berinatus sp. """,convermo. Nothing else seems to match #,NEL,form.,94,202201,130,1, , , , ,x,NA,NA,Beringius sp.,Nothing else seems to match for species,NEC,FORM
5,2,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0005.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/5/cropped_form.png,gy.,202201,130,1961,0 0,0 0,0 0,0 0,x.,infa.,nja.,"Berinatus sp. """,commercials. Nothing else seems to match for,nel,form.,94,202201,130,1, , , , ,x,NA,NA,Beringius sp.,Nothing else seems to match for species,NEC,FORM
6,2,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0006.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/6/cropped_form.png,gy.,202201,130,1961-,0 0,0 0,0 0,0 0,x.,infra.,nja.,"Berinatus sp. """,conserro. Nothing else seems to match #,NEL,form.,94,202201,130,1, , , , ,x,NA,NA,Beringius sp.,Nothing else seems to match for species,NEC,FORM
7,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0007.JPG,,,,,,,,,,,,,,,,,94,202201,130,1, , , , ,x,NA,NA,Beringius sp.,Nothing else seems to match for species,NEC,FORM
8,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0008.JPG,,,,,,,,,,,,,,,,,94,202201,130,1, , , , ,x,NA,NA,Beringius sp.,Nothing else seems to match for species,NEC,FORM
9,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0009.JPG,,,,,,,,,,,,,,,,,94,202201,130,1, , , , ,x,NA,NA,Beringius sp.,Nothing else seems to match for species,NEC,FORM
10,3,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0010.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/10/cropped_form.png,gy.,202201,130,"1961,",0 0,0,0 0,0 0,x,wfm.,nja.,Berinaius sp.,comments. Nothing else seems to match for,NEL,form.,94,202201,130,1, , , , ,x,NA,NA,Beringius sp.,Nothing else seems to match for species,NEC,FORM
11,3,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0011.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/11/cropped_form.png,gy.,202201,130,"1961s,",0 0,0 0,0 0,0 0,x,"infra,",nja.,-Berinaius sp. ',comments. Nothing a live seems to match #,NEL,form.,94,202201,130,1, , , , ,x,NA,NA,Beringius sp.,Nothing else seems to match for species,NEC,FORM
