id,voucher_id,image_fullpath,image_croppath,pred_vessel,pred_cruise_num,pred_haul_num,pred_specimen_num,pred_stomach_sample,pred_tissue_sample,pred_right_ovary,pred_left_ovary,pred_whole_animal,pred_length_cm,pred_weight_gm,pred_species_identification,pred_comments,pred_collector_initials,pred_preservative,verified_vessel,verified_cruise_num,verified_haul_num,verified_specimen_num,verified_stomach_sample,verified_tissue_sample,verified_right_ovary,verified_left_ovary,verified_whole_animal,verified_length_cm,verified_weight_gm,verified_species_identification,verified_comments,verified_collector_initials,verified_preservative
1,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0001.JPG,,,test1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0002.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/2/cropped_form.png,,,,,,,,,,,,,,,,,test2,,,,,,,,,,,,,
3,2,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0003.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/3/cropped_form.png,,test3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0004.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/4/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0005.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/5/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0006.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/6/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0007.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0008.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0009.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0010.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/10/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0011.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/11/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0012.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/12/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0013.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0014.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0015.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0016.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/16/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0017.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/17/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0018.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0019.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0020.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0021.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0022.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0023.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0024.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0025.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0026.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/26/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0027.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/27/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0028.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/28/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0029.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/29/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0030.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0031.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0032.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0033.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0034.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0035.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Y:/RACE_Imagery/Field_Photos/EBSshelf2022/Vesteraalen/Leg3/EBS_94_202201_L3_0036.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
